           1         635
           3         629
           1        1160
           1         632
           1         631
           1        1252
           2        1159
           3        1159
           1        1161
           1        1254
           1        1253
           3        1476
           1        1471
           1        1159
           1        1475
           3        1543
           3         947
           3        1473
           1        1470
           3        1467
           1        1163
           1        1162
           1        1106
           1        1107
           1         950
           1        1108
           1        1198
           2        1103
           1        1197
           3        1747
           1        1474
           1         779
           1         780
           1        1468
           1        1528
           1        1105
           3        1103
           1         949
           1         948
           1        1196
           1        1195
           3        1788
           1        1132
           1        1104
           1        1103
           1        1356
           3        1131
           1        1133
           1        1280
           1        1281
           1        1509
           1        1355
           1         862
           1         863
           1        1462
           1        1663
           1        1751
           1        1602
           1         778
           3         776
           2         776
           1        1131
           1        1769
           3        1238
           1        1393
           1        1394
           1        1173
           1         777
           1         776
           1        1135
           1        1134
           2        1189
           3        1279
           1        1282
           3        1530
           1         861
           3         859
           2         859
           1        1068
           1        1220
           1        1094
           2        1442
           2        1393
           3        1393
           2        1173
           1         802
           1         803
           2        1300
           2        1191
           3        1189
           1         821
           1         822
           1         823
           1        1532
           1         860
           1         859
           3        1067
           1        1069
           1        1221
           2         868
           1        1628
           3        1627
           2        1382
           3        1382
           1         772
           3         770
           2         770
           3         782
           2         782
           1        1151
           2        1480
           1        1155
           1        1148
           1        1147
           3        1634
           1         671
           2        1669
           1         771
           1         770
           1        1873
           3        1519
           1         783
           1         782
           3        1147
           2        1147
           3         557
           1         559
           1        1154
           3        1153
           1        1157
           1        1674
           3        1669
           1        1670
           2        1873
           3        1869
           1         652
           3         648
           3        1329
           1        1329
           2        1408
           1         962
           1         963
           1         922
           1         923
           1        1620
           1         651
           1         650
           3         904
           1         562
           1         561
           1         560
           1        1153
           2        1153
           1        1854
           2        1674
           1        1330
           3        1408
           2         962
           3         962
           1         921
           3         921
           1         924
           2        1022
           1        1022
           1         906
           1         905
           1        1209
           1        1942
           1        1116
           1        1117
           1        1331
           1         965
           2         921
           1         925
           1        1026
           3        1022
           1        1023
           1         902
           1         856
           1         857
           1        1212
           2         865
           1        1924
           2        1116
           3        1116
           1        1118
           1        1342
           1        1410
           2        1386
           1         966
           2         894
           1        1822
           1        1234
           2        1234
           2         843
           1         843
           1         874
           3        1094
           1         554
           2         694
           1         728
           2        1270
           2         618
           1         638
           3         849
           2         849
           2         483
           3         483
           2         485
           1        1089
           1        1095
           1        2596
           1         812
           1         813
           1        1114
           1        1115
           1         496
           1         501
           1        1193
           1        1190
           1        1728
           1        1722
           3        2061
           1        1235
           3        1234
           2        1240
           2        1319
           2        1400
           2        1741
           1        2136
           1        2137
           1        1268
           1        1269
           2        2280
           1        2335
           1         604
           1        1635
           2        2449
           1        1389
           3         865
           1         865
           1        1925
           1        1120
           1        1119
           1        1343
           1        1818
           2        1391
           3        1386
           1        1387
           2        1716
           3        1716
           1        1719
           1        1025
           1        1024
           2         902
           2         856
           3         856
           1         858
           1        1724
           3        1525
           1        1820
           1        1778
           1        1346
           1         846
           2         815
           3         815
           2         628
           1        2503
           1        2545
           1         810
           1         809
           1        1112
           1        1111
           1         757
           1         666
           3         657
           2         546
           1         555
           1         510
           1         506
           1        1756
           1        1797
           1        2500
           3         894
           1         894
           1        1779
           3        1776
           1         847
           3         843
           1         815
           1         628
           3         628
           1         484
           1         490
           1        1250
           1        1871
           1        2210
           1        1596
           1        1584
           1         878
           1         879
           2        1383
           3        1754
           1        1370
           1        1352
           1        1353
           1        1053
           1        1054
           3        1071
           1        2539
           1        2538
           1        2268
           2        2268
           2        2231
           1        1850
           1        1847
           1        1763
           2        1763
           1        2410
           1        2876
           1        1938
           2        1757
           2        1368
           1        1345
           2        1345
           1         819
           1         818
           1        1071
           1         494
           1         493
           1        1878
           1        1877
           1        2212
           1        2662
           1        2379
           1         736
           1         755
           1        2205
           2        2540
           1        1765
           1         952
           1         953
           2         738
           3         738
           1         743
           3        1672
           1         929
           1         930
           2        2366
           1        2234
           2        2234
           1        1274
           1        1275
           1        2245
           1        2246
           2        2180
           1        2180
           1        1754
           2        1754
           1        1351
           3        1349
           1        1052
           1         738
           1         741
           2        1075
           3        1932
           1        2736
           2        2728
           1        2728
           1        2927
           1        2904
           1         731
           1         730
           1         765
           1        2611
           1        2610
           1         956
           1         955
           2        1434
           2        1396
           1        1396
           1        1083
           1        1084
           1         932
           1        2162
           1        2533
           1        2225
           1        1278
           1        1277
           2        2201
           1        2201
           2        1241
           1        1241
           2        2392
           1        1957
           2         952
           3         952
           1         954
           1         748
           1         745
           2        1672
           1        1689
           1        1701
           1        2693
           2        2725
           1        2422
           1        2423
           2         581
           1         581
           2         762
           1        1099
           2        2626
           1        2550
           3         895
           2         582
           1         582
           1         700
           2         499
           1         499
           1        1245
           2        2165
           1        2433
           1        2223
           1        2196
           2        2196
           1        2198
           1        1810
           1        1244
           1        1243
           1        2367
           1         537
           1         538
           2         895
           1         895
           1         695
           1         699
           2        1083
           3        1083
           1        1085
           2        1245
           1        2743
           1        2420
           1        1909
           1         588
           1         587
           1        1091
           1        1060
           1        1061
           1        2265
           1        2266
           1        1491
           1        1556
           1        1557
           2        2375
           1        2445
           1        2238
           1        1050
           1        1051
           1        2371
           1        2370
           1         533
           1         532
           1         898
           2         589
           3         582
           1         585
           2         507
           3         499
           1         500
           2        1892
           1        2795
           1        2672
           1        1907
           1        1690
           1        1684
           1        1185
           1        1058
           1        1057
           1        2263
           1        2262
           2        1379
           3        1046
           1        1047
           1        1048
